ref,mark_usd,mark_source,confidence,n_sources,spread_pct,as_of,msrp_usd
123.20.24.60.55.001,2047.04,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.20.24.60.55.005,1583.86,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.20.24.60.55.006,1548.33,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.20.24.60.57.002,1169.15,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.20.24.60.63.002,2046.01,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.20.27.20.57.003,5032.15,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.25.24.60.55.011,5827.82,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.25.24.60.58.001,5318.86,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.25.24.60.58.002,2856.96,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.25.38.22.02.001,4393.21,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.55.24.60.55.011,19962.71,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.55.27.20.55.003,27769.35,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.55.27.20.55.004,28717.31,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.55.27.60.55.011,23280.63,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.55.31.20.55.008,29999.83,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.55.31.20.55.009,27769.35,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
12300,935.68,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
124060,12194.0,manual_check,VERIFIED,2,4.3,2026-08-09,9200.0
124200,7906.0,manual_check,VERIFIED,2,0.5,2026-08-09,6400.0
124270,7956.0,manual_check,VERIFIED,3,8.8,2026-08-09,7900.0
124273,10510.0,manual_check,VERIFIED,2,3.1,2026-08-09,12700.0
124300,7950.22,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,6150.0
124300TU,25987.01,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
124300YO,15145.8,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
12503,256773.0,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126000,9396.0,manual_check,VERIFIED,2,5.1,2026-08-09,6750.0
126003,12802.18,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,8450.0
126067,38197.0,manual_check,VERIFIED,2,14.1,2026-08-09,29100.0
126200,9044.0,manual_check,VERIFIED,2,9.0,2026-08-09,8150.0
126201,14926.0,manual_check,VERIFIED,2,23.3,2026-08-09,
126203,12560.0,manual_check,VERIFIED,2,29.4,2026-08-09,
126231,16263.0,manual_check,VERIFIED,2,17.7,2026-08-09,15100.0
126231G,16376.33,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126233,15217.0,manual_check,VERIFIED,2,3.2,2026-08-09,14750.0
126233GCHF,15305.23,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126233NG,17521.82,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126234,12488.0,manual_check,VERIFIED,2,7.8,2026-08-09,9350.0
126234G,10054.69,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126234NG,12860.64,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126281RBR,22281.0,manual_check,VERIFIED,2,25.1,2026-08-09,
126283RBR,22358.0,manual_check,VERIFIED,2,30.3,2026-08-09,27100.0
126284RBR,19277.0,manual_check,VERIFIED,2,18.6,2026-08-09,26000.0
126300,9982.0,manual_check,VERIFIED,2,8.6,2026-08-09,8550.0
126301,13483.0,manual_check,VERIFIED,1,0.0,2026-08-09,
126301NGOWH,13710.93,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126303,12634.0,manual_check,VERIFIED,2,16.9,2026-08-09,
126331,17111.0,manual_check,VERIFIED,2,15.8,2026-08-09,17050.0
126331NG,18918.97,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126333,15666.0,manual_check,VERIFIED,2,4.2,2026-08-09,17350.0
126333G,13737.5,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126333NG,17696.67,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126334,14527.0,manual_check,VERIFIED,3,9.6,2026-08-09,11650.0
126334G,12509.9,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126334GBL,14486.23,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126334NG,12743.73,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126500,31997.0,manual_check,VERIFIED,1,0.0,2026-08-09,
126500LN,33905.34,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,16900.0
126500LNBK,28803.6,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126500LNWH,34117.91,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126503,25325.0,manual_check,VERIFIED,2,8.8,2026-08-09,24000.0
126503G,26539.7,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126503GBK,27062.19,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126505,54091.0,manual_check,VERIFIED,2,5.1,2026-08-09,56400.0
126506,117275.0,manual_check,VERIFIED,2,3.4,2026-08-09,84600.0
126506A,125780.4,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126508,67696.0,manual_check,VERIFIED,2,16.6,2026-08-09,52100.0
126509,50690.0,manual_check,VERIFIED,2,9.0,2026-08-09,50500.0
126509GBK,49341.67,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
126515,46232.0,manual_check,VERIFIED,2,4.8,2026-08-09,
126515LN,48638.94,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,44800.0
